FiscalYear,State,Pollutant,AssessmentUnitId
2013,AR,TOTAL SUSPENDED SOLIDS (TSS),AR-1B-11140302-004
2013,AR,TEMPERATURE,AR-1B-11140302-006
2013,AR,TOTAL SUSPENDED SOLIDS (TSS),AR-1B-11140302-006
2013,AR,TOTAL SUSPENDED SOLIDS (TSS),AR-1B-11140302-001
2013,AR,TEMPERATURE,AR-1B-11140302-001
2013,AR,TOTAL SUSPENDED SOLIDS (TSS),AR-1B-11140302-002
2013,AR,TEMPERATURE,AR-1B-11140302-002
2013,AR,TOTAL SUSPENDED SOLIDS (TSS),AR-1B-11140302-008
2013,AR,TEMPERATURE,AR-1B-11140302-008
2008,AR,SILTATION/TURBIDITY,AR08020203-005-2.6
2008,AR,SILTATION/TURBIDITY,AR08040204-005-28.9
2008,AR,SILTATION/TURBIDITY,AR08040201-001L-12
2003,AR,MERCURY,AR08040202-02-4
2008,AR,SILTATION/TURBIDITY,AR08040201-001U-57.9
2003,AR,MERCURY,AR08040202-03-8.4
2008,AR,SILTATION/TURBIDITY,AR08040101-048-10
2003,AR,MERCURY,AR08040201-04-2.5
2008,AR,COPPER,AR08040102-023-16.6
2008,AR,ZINC,AR08040102-023-16.6
2003,AR,MERCURY,AR08040201-02-22.5
2002,AR,SILTATION/TURBIDITY,AR08020205-02-16.8
2008,AR,SILTATION/TURBIDITY,AR08020203-003-2.4
2007,AR,BACTERIA,AR08040205-907-30.5
2008,AR,SILTATION/TURBIDITY,AR08020203-007-16.1
2008,AR,PATHOGENS,AR11140109-13-12.7
2008,AR,BACTERIA,AR11140109-033-22.1
2010,AR,"PHOSPHORUS, TOTAL",AR-3J-11070208-901
2003,AR,MERCURY,AR08040204-01-2.8
2003,AR,MERCURY,AR08040202-04-28.9
2003,AR,MERCURY,AR08040203-01-0.2
2005,AR,CHLORIDES,AR08050001-19-58.1
2005,AR,SILTATION,AR08050001-19-58.1
2005,AR,SILTATION,AR08050002-03-80.5
2005,AR,SILTATION,AR08050002-06-38.6
2005,AR,SILTATION,AR08050001-22-27.1
2005,AR,CHLORIDES,AR08050001-22-27.1
2005,AR,TOTAL DISSOLVED SOLIDS (TDS),AR08050002-10-48.4
2005,AR,SILTATION,AR08050002-10-48.4
2005,AR,CHLORIDES,AR08050002-10-48.4
2007,AR,BACTERIA,AR11010014-009-18.6
2007,AR,BACTERIA,AR11010014-010-2.9
2006,AR,"PHOSPHORUS, TOTAL",AR11010001-045L-5
2007,AR,BACTERIA,AR11010014-008-9
2012,AR,PH,AR-1A-11140203-024
2007,AR,PATHOGENS,AR11010014-006-21.7
2007,AR,BACTERIA,AR11010014-006-21.7
2012,AR,LEAD,AR-1A-11140205-007
2007,AR,BACTERIA,AR11010014-007-21.4
2012,AR,LEAD,AR-1A-11140205-010
2007,AR,BACTERIA,AR11010014-004-0.6
2010,AR,PH,AR-3H-11110201-009
2009,AR,ESCHERICHIA COLI (E. COLI),AR-4D-8020301-012
2009,AR,FECAL COLIFORM,AR-4D-8020301-012
2007,AR,BACTERIA,AR11010012-003-11.8
2013,AR,CHLORIDE,AR-1B-11140201-007
2013,AR,TOTAL DISSOLVED SOLIDS (TDS),AR-1B-11140201-007
2013,AR,TOTAL DISSOLVED SOLIDS (TDS),AR-1B-11140201-014
2013,AR,SULFATES,AR-1B-11140201-014
2013,AR,CHLORIDE,AR-1B-11140106-001
2013,AR,SULFATES,AR-1B-11140106-001
2013,AR,TOTAL DISSOLVED SOLIDS (TDS),AR-1B-11140106-001
2013,AR,TOTAL DISSOLVED SOLIDS (TDS),AR-1B-11140201-011
2009,AR,ESCHERICHIA COLI (E. COLI),AR-4D-8020301-011
2009,AR,FECAL COLIFORM,AR-4D-8020301-011
2009,AR,ESCHERICHIA COLI (E. COLI),AR-4D-8020301-010
2009,AR,FECAL COLIFORM,AR-4D-8020301-010
2001,AR,NUTRIENTS,AR11010004-15-9.1
2012,AR,PH,AR-1A-11140203-923
2012,AR,LEAD,AR-1A-11140203-923
2012,AR,PH,AR-1A-11140203-026
2012,AR,LEAD,AR-1A-11140203-026
2007,AR,TURBIDITY,AR08020302
2012,AR,PH,AR-1A-11140203-021
2012,AR,LEAD,AR-1A-11140203-021
2007,AR,BACTERIA,AR08040205-005-28.9
2006,AR,NITRATES,AR11140302-03-11.00
2007,AR,PATHOGENS,AR08040205-13-33.9
2006,AR,NITRATES,AR11140109-919-12.8
2006,AR,"PHOSPHORUS, TOTAL",AR11140109-919-12.8
2007,AR,BACTERIA,AR11010014-038-14.7
2007,AR,BACTERIA,AR08040205-904-6
2007,AR,BACTERIA,AR08040205-905-2.4
2007,AR,BACTERIA,AR08040205-902-4.6
2003,AR,SILTATION/TURBIDITY,AR08040205-13-33.9
2007,AR,BACTERIA,AR08040205-903-8.7
2004,AR,TOTAL DISSOLVED SOLIDS (TDS),AR08040201-706-16
2004,AR,SULFATES,AR08040201-706-16
2004,AR,CHLORIDES,AR08040201-706-16
2003,AR,SILTATION/TURBIDITY,AR08040205-06-82.3
2007,AR,BACTERIA,AR08040205-901-24.4
2003,AR,SILTATION/TURBIDITY,AR08040205-12-25
2004,AR,TOTAL DISSOLVED SOLIDS (TDS),AR08040201-806-8
2004,AR,CHLORIDES,AR08040201-806-8
2003,AR,SILTATION/TURBIDITY,AR08040205-02-17.9
2007,AR,BACTERIA,AR11010014-028-12
2003,AR,MERCURY,AR11140203-24-7
2003,AR,MERCURY,AR11140203-26-23.3
2012,AR,COPPER,AR-1A-11140205-006
2012,AR,LEAD,AR-1A-11140205-006
2012,AR,PH,AR-1A-11140205-006
2012,AR,TURBIDITY,AR-1A-11140205-006
2003,AR,MERCURY,AR11110206-02-8.7
2012,AR,LEAD,AR-1A-11140205-002
2012,AR,PH,AR-1A-11140205-002
2012,AR,TURBIDITY,AR-1A-11140205-002
2012,AR,COPPER,AR-1A-11140205-002
2007,AR,BACTERIA,AR11010014-012-8
2003,AR,MERCURY,AR11140203-20-11.9
2007,AR,UNLISTED BUT IMPAIRED,AR11010014-027-8.8
2007,AR,BACTERIA,AR11010014-027-8.8
2012,AR,TURBIDITY,AR-1A-11140203-025
2012,AR,LEAD,AR-1A-11140203-025
2012,AR,DISSOLVED OXYGEN,AR-1A-11140203-025
2003,AR,MERCURY,AR11140203-22-8.4
2007,AR,PATHOGENS,AR11010012-11-20.4
2007,AR,BACTERIA,AR11010012-011-20.4
2002,AR,SILTATION/TURBIDITY,AR08020205-03-1.8
2004,AR,AMMONIA,AR11110203-04-3.00
2004,AR,NITRATES,AR11110203-04-3.00
2009,AR,BACTERIA,AR11110103-029-13.5
2009,AR,ESCHERICHIA COLI (E. COLI),AR11110103-029-13.5
2012,AR,SULFATES,AR-1A-11140203-022
2012,AR,LEAD,AR-1A-11140203-022
2012,AR,PH,AR-1A-11140203-022
